지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일 최심신적설(cm),일 최심적설(cm)
112,인천,2012-05-11,16.4,,2.3,,
112,인천,2012-05-12,16.5,,2.6,,
112,인천,2012-05-13,17.3,,2.2,,
112,인천,2012-05-14,16.2,11.5,1.3,,
112,인천,2012-05-15,14.4,,3.1,,
112,인천,2012-05-16,15.2,,3.1,,
112,인천,2012-05-17,15.6,1.5,2.8,,
112,인천,2012-05-18,16,,2.6,,
112,인천,2012-05-19,17.9,,2,,
112,인천,2012-05-20,18.7,,2.2,,
112,인천,2012-05-21,21.6,,2.4,,
112,인천,2012-05-22,21.8,,2.5,,
112,인천,2012-05-23,19.1,,2.4,,
112,인천,2012-05-24,17.7,,2.2,,
112,인천,2012-05-25,18,,2.6,,
112,인천,2012-05-26,17.9,,3.1,,
112,인천,2012-05-27,18.3,.5,2.8,,
112,인천,2012-05-28,19,.5,2.5,,
112,인천,2012-05-29,19.5,,3,,
112,인천,2012-05-30,20.5,0,2.3,,
112,인천,2012-05-31,19.9,0,2.6,,
112,인천,2012-06-01,19.6,,2.3,,
112,인천,2012-06-02,21,,2,,
112,인천,2012-06-03,21,,2.2,,
112,인천,2012-06-04,21.6,,1.8,,
112,인천,2012-06-05,21.4,,2.2,,
112,인천,2012-06-06,20.9,,1.8,,
112,인천,2012-06-07,20.7,,2.1,,
112,인천,2012-06-08,20,,1.8,,
112,인천,2012-06-09,21.7,,2.1,,
112,인천,2012-06-10,21.6,,2.6,,
112,인천,2012-06-11,21.8,,2.3,,
112,인천,2012-06-12,22.7,,2.8,,
112,인천,2012-06-13,23,,2.5,,
112,인천,2012-06-14,24.2,,2.3,,
112,인천,2012-06-15,23.9,,3,,
112,인천,2012-06-16,22,,2.6,,
112,인천,2012-06-17,21.9,,2.1,,
112,인천,2012-06-18,23.1,,1.9,,
112,인천,2012-06-19,26.3,,2.8,,
112,인천,2012-06-20,24.2,,2.6,,
112,인천,2012-06-21,23.4,,2.5,,
112,인천,2012-06-22,22.2,.3,2.5,,
112,인천,2012-06-23,24.1,,2.4,,
112,인천,2012-06-24,27,,2.2,,
112,인천,2012-06-25,26.5,,2.7,,
112,인천,2012-06-26,25.2,,3.2,,
112,인천,2012-06-27,25.1,,2.8,,
112,인천,2012-06-28,24.6,,2.1,,
112,인천,2012-06-29,24.1,26.6,2,,
112,인천,2012-06-30,21.3,63.9,4.3,,
112,인천,2012-07-01,20.9,.1,2.1,,
112,인천,2012-07-02,22.8,,2.3,,
112,인천,2012-07-03,22.6,1.1,2.2,,
112,인천,2012-07-04,22.7,,2.5,,
112,인천,2012-07-05,22.4,63,2.2,,
112,인천,2012-07-06,21.3,138.4,2.7,,
112,인천,2012-07-07,24,,2.2,,
112,인천,2012-07-08,23.7,,2.2,,
112,인천,2012-07-09,24.7,,2,,
112,인천,2012-07-10,24.4,10.3,2.6,,
112,인천,2012-07-11,22.5,12.8,3.5,,
112,인천,2012-07-12,23.6,.6,1.9,,
112,인천,2012-07-13,25.4,16.3,2.1,,
112,인천,2012-07-14,23.4,5.6,2.1,,
112,인천,2012-07-15,19.9,35.8,3.1,,
112,인천,2012-07-16,21.6,.4,1.7,,
112,인천,2012-07-17,24.8,0,1.7,,
112,인천,2012-07-18,26.3,6.6,2.2,,
112,인천,2012-07-19,23,125.2,4,,
112,인천,2012-07-20,24.7,.1,2,,
112,인천,2012-07-21,26.3,,1.6,,
112,인천,2012-07-22,26.5,5.9,2.5,,
112,인천,2012-07-23,26.8,0,4.3,,
112,인천,2012-07-24,26.5,,2.7,,
112,인천,2012-07-25,26.6,,1.9,,
112,인천,2012-07-26,26.1,,2,,
112,인천,2012-07-27,26.8,,2.4,,
112,인천,2012-07-28,27.2,,2,,
112,인천,2012-07-29,28.1,,3.5,,
112,인천,2012-07-30,27.3,3.1,3.5,,
112,인천,2012-07-31,27.8,,2.3,,
112,인천,2012-08-01,30.4,,2.2,,
112,인천,2012-08-02,31.1,,3.2,,
112,인천,2012-08-03,31.1,,3,,
112,인천,2012-08-04,30.6,,3,,
112,인천,2012-08-05,30.4,,3.3,,
112,인천,2012-08-06,30.7,,2.5,,
112,인천,2012-08-07,29.7,9,2.3,,
112,인천,2012-08-08,28.6,,2.9,,
112,인천,2012-08-09,27.8,,2.1,,
112,인천,2012-08-10,26.1,.1,1.9,,
112,인천,2012-08-11,27.1,,1.7,,
112,인천,2012-08-12,25.1,19.1,1.9,,
112,인천,2012-08-13,26.7,.2,2.2,,
112,인천,2012-08-14,26.8,23.8,3,,
112,인천,2012-08-15,23.9,113,4,,
112,인천,2012-08-16,24.7,,1.5,,
112,인천,2012-08-17,27,0,1.8,,
112,인천,2012-08-18,26.9,2.9,3.1,,
112,인천,2012-08-19,27.2,4.7,4.8,,
112,인천,2012-08-20,24.7,50.7,4,,
112,인천,2012-08-21,24.9,56.6,2.3,,
112,인천,2012-08-22,21.5,19.9,2.8,,
112,인천,2012-08-23,23.2,,2.4,,
112,인천,2012-08-24,23.7,10.1,2.8,,
112,인천,2012-08-25,25.3,10.4,2.9,,
112,인천,2012-08-26,27.5,.1,1.5,,
112,인천,2012-08-27,28.7,,3.1,,
112,인천,2012-08-28,26.2,8.4,8.4,,
112,인천,2012-08-29,25.2,1.2,3.5,,
112,인천,2012-08-30,21.9,35,2.6,,
112,인천,2012-08-31,23.1,,2.9,,
112,인천,2012-09-01,24.6,.3,2.5,,
112,인천,2012-09-02,24.7,,1.8,,
112,인천,2012-09-03,24.9,,1.8,,
112,인천,2012-09-04,22,49.3,2.7,,
112,인천,2012-09-05,22.1,.6,3.7,,
112,인천,2012-09-06,22.1,,2.8,,
112,인천,2012-09-07,22.7,1,1.9,,
112,인천,2012-09-08,19.7,28.2,3.8,,
112,인천,2012-09-09,21.2,,2,,
112,인천,2012-09-10,22.3,,2.4,,
112,인천,2012-09-11,23,,2,,
112,인천,2012-09-12,22.1,0,1.8,,
112,인천,2012-09-13,20.3,11.5,1.9,,
112,인천,2012-09-14,18.7,1.1,2.9,,
112,인천,2012-09-15,21.1,,2,,
112,인천,2012-09-16,19.8,1.8,2.7,,
112,인천,2012-09-17,17.7,57.8,4.5,,
112,인천,2012-09-18,21.1,,3,,
112,인천,2012-09-19,21.1,,3.1,,
112,인천,2012-09-20,20.9,,2.3,,
112,인천,2012-09-21,20.3,,2,,
112,인천,2012-09-22,20.4,,2.1,,
112,인천,2012-09-23,21.3,,2.4,,
112,인천,2012-09-24,21.1,,2.3,,
112,인천,2012-09-25,21.8,,2,,
112,인천,2012-09-26,21,,2.2,,
112,인천,2012-09-27,20.2,,2.2,,
112,인천,2012-09-28,18.3,9.5,3.8,,
112,인천,2012-09-29,16.7,0,4.4,,
112,인천,2012-09-30,16.3,,2.3,,
112,인천,2012-10-01,18.2,,1.8,,
112,인천,2012-10-02,19.3,,2,,
112,인천,2012-10-03,19.7,,2,,
112,인천,2012-10-04,19.1,,2.2,,
112,인천,2012-10-05,19.1,,2.1,,
112,인천,2012-10-06,19,,2.4,,
112,인천,2012-10-07,18.9,,1.9,,
112,인천,2012-10-08,18.7,,2.2,,
112,인천,2012-10-09,17.6,,1.8,,
112,인천,2012-10-10,16.2,3.5,4.1,,
112,인천,2012-10-11,14.6,,4.3,,
112,인천,2012-10-12,15.5,,2,,
112,인천,2012-10-13,17.4,,2,,
112,인천,2012-10-14,16.6,,3.5,,
112,인천,2012-10-15,14.7,,2.5,,
112,인천,2012-10-16,17.4,,2.3,,
112,인천,2012-10-17,12.8,2.1,5.6,,
112,인천,2012-10-18,12.4,,2.8,,
112,인천,2012-10-19,16,,2.6,,
112,인천,2012-10-20,16.4,,3,,
112,인천,2012-10-21,18.2,,2,,
112,인천,2012-10-22,13.6,32.1,6.3,,
112,인천,2012-10-23,10.5,,4.6,,
112,인천,2012-10-24,13.6,0,3.4,,
112,인천,2012-10-25,15.3,,2.7,,
112,인천,2012-10-26,16.6,,1.6,,
112,인천,2012-10-27,15,37.8,4.9,,
112,인천,2012-10-28,14.2,,5.4,,
112,인천,2012-10-29,11.5,,2.7,,
112,인천,2012-10-30,8.2,0,4.3,,
112,인천,2012-10-31,7,2.2,3,,
112,인천,2012-11-01,6.4,,6,,
112,인천,2012-11-02,7.1,,2.7,,
112,인천,2012-11-03,9.6,,2,,
112,인천,2012-11-04,11.9,5.2,4.5,,
112,인천,2012-11-05,9.4,19.4,2.3,,
112,인천,2012-11-06,7.5,9.1,4,,
112,인천,2012-11-07,9.2,,3.8,,
112,인천,2012-11-08,10,,1.8,,
112,인천,2012-11-09,8.9,,2.4,,
112,인천,2012-11-10,12.4,0,4.1,,
112,인천,2012-11-11,9.1,34.5,5.8,,
112,인천,2012-11-12,8.5,2.4,6.9,,
112,인천,2012-11-13,5.9,.2,6.2,,
112,인천,2012-11-14,3.2,.1,5.7,,
112,인천,2012-11-15,4.3,,2.6,,
112,인천,2012-11-16,6,12.2,2.6,,
112,인천,2012-11-17,5.7,2.1,6,,
112,인천,2012-11-18,3.8,,2.1,,
112,인천,2012-11-19,4.3,6.7,5.8,,
112,인천,2012-11-20,2.9,,3.2,,
112,인천,2012-11-21,4.8,,1.5,,
112,인천,2012-11-22,7.2,0,2.3,,
112,인천,2012-11-23,3.1,,5,,
112,인천,2012-11-24,2.3,,3,,
112,인천,2012-11-25,4,1.5,2.1,,
112,인천,2012-11-26,2.8,1.1,6.3,,
112,인천,2012-11-27,2.5,,2.9,,
112,인천,2012-11-28,5.9,.2,6.5,,
112,인천,2012-11-29,1,,3.1,,
112,인천,2012-11-30,2.2,.8,3.2,,
112,인천,2012-12-01,-1.5,,3.3,,
112,인천,2012-12-02,2.6,,2.2,,
112,인천,2012-12-03,2.7,6.5,6.2,.2,.2
112,인천,2012-12-04,-2.4,,5.1,,.2
112,인천,2012-12-05,-2.8,8.6,5,11.3,11.3
112,인천,2012-12-06,-6,1.5,4.1,2.2,10
112,인천,2012-12-07,-3.2,2.4,3.8,3.9,13.5
112,인천,2012-12-08,-7.8,,4.2,,13.5
112,인천,2012-12-09,-9.9,,3.7,,10.6
112,인천,2012-12-10,-7.4,,2.4,,10.2
112,인천,2012-12-11,-6.4,,2,,7.9
112,인천,2012-12-12,-4.5,,1.5,,6.4
112,인천,2012-12-13,-.2,,1.8,,6
112,인천,2012-12-14,2.6,20.6,3.9,,5.6
112,인천,2012-12-15,4.2,,3.3,,
112,인천,2012-12-16,1.9,,2,,
112,인천,2012-12-17,-.5,,5.1,,
112,인천,2012-12-18,-6.4,,5.7,,
112,인천,2012-12-19,-6.6,,3.1,,
112,인천,2012-12-20,-2.9,,2.1,,
112,인천,2012-12-21,-1.2,3.4,3,3.2,3.2
112,인천,2012-12-22,-2.6,,4.7,,2.8
112,인천,2012-12-23,-8.5,,7.1,,1.7
112,인천,2012-12-24,-8.2,.9,2.3,1.3,2.8
112,인천,2012-12-25,-8.3,1,6,2,4.8
112,인천,2012-12-26,-10.6,,3.3,,4.2
112,인천,2012-12-27,-5.7,,1.8,,2.9
112,인천,2012-12-28,-.9,0,2.7,,1.4
112,인천,2012-12-29,-.5,5.3,1.8,5.1,6.1
112,인천,2012-12-30,-7.5,.2,5.7,.4,6.2
112,인천,2012-12-31,-7.7,,2.7,,5.5
112,인천,2013-01-01,-3.3,2.9,3,4.8,8.3
112,인천,2013-01-02,-10.7,,4.8,,8.3
112,인천,2013-01-03,-12.2,,4.8,,7.7
112,인천,2013-01-04,-10,,2,,6.7
112,인천,2013-01-05,-5.9,,2.1,,5.8
112,인천,2013-01-06,-6.1,,2.2,,5.5
112,인천,2013-01-07,-5.4,,2,,4.7
112,인천,2013-01-08,-4.6,,2.9,,3.9
112,인천,2013-01-09,-8.3,,4.9,,3.5
112,인천,2013-01-10,-7.9,,2.5,,3.3
112,인천,2013-01-11,-2.2,,3.1,,2.9
112,인천,2013-01-12,.5,1.8,3.1,1,3.7
112,인천,2013-01-13,-1.4,,2.3,,.8
112,인천,2013-01-14,-2.2,,3.9,,.5
112,인천,2013-01-15,-2.8,,2,,
112,인천,2013-01-16,-2.5,.6,3.4,1,1
112,인천,2013-01-17,-5.9,,3.7,,.2
112,인천,2013-01-18,-3.6,,1.9,,
112,인천,2013-01-19,.9,,2.1,,
112,인천,2013-01-20,2.4,,2,,
112,인천,2013-01-21,2.9,18.5,3.6,,
112,인천,2013-01-22,3.4,.2,2.6,,
112,인천,2013-01-23,2,1.5,2.4,,
112,인천,2013-01-24,-.8,0,5.1,,
112,인천,2013-01-25,-8.4,,5.9,,
112,인천,2013-01-26,-8.7,,5.4,,
112,인천,2013-01-27,-7,,3,,
112,인천,2013-01-28,-2.6,,2.5,,
112,인천,2013-01-29,4,,3.3,,
112,인천,2013-01-30,6.4,,1.9,,
112,인천,2013-01-31,8.8,0,2.4,,
112,인천,2013-02-01,7.3,44.7,3.7,,
112,인천,2013-02-02,-1.8,,5.3,,
112,인천,2013-02-03,-3.1,7.2,2.4,7.4,7.4
112,인천,2013-02-04,-1.1,6.5,3.9,7.2,14.6
112,인천,2013-02-05,-1.3,6.7,2.3,2.8,12
112,인천,2013-02-06,-1.5,2.2,4.2,1.6,13.5
112,인천,2013-02-07,-10.8,0,9,0,12.7
112,인천,2013-02-08,-11.9,,4,,12.4
112,인천,2013-02-09,-6.7,,1.6,,12.2
112,인천,2013-02-10,-4,1.2,3.8,1.6,12.4
112,인천,2013-02-11,-6.2,,3.1,,11
112,인천,2013-02-12,-4.2,,2.2,,10.2
112,인천,2013-02-13,-1.3,,1.9,,9.5
112,인천,2013-02-14,1.2,,2.3,,8.2
112,인천,2013-02-15,-1.2,,6.1,,3.8
112,인천,2013-02-16,-2.9,,2,,1.8
112,인천,2013-02-17,2.2,0,2,,1
112,인천,2013-02-18,0,,5.8,,
112,인천,2013-02-19,-3.1,,5.8,,
112,인천,2013-02-20,-4.6,,3.7,,
112,인천,2013-02-21,-1.4,0,2,,
112,인천,2013-02-22,1,.2,5.3,.3,.3
112,인천,2013-02-23,-.3,,4.2,,
112,인천,2013-02-24,1.1,,2.2,,
112,인천,2013-02-25,2.9,,1.5,,
112,인천,2013-02-26,4.5,0,1.6,,
112,인천,2013-02-27,1.9,,2.3,,
112,인천,2013-02-28,6.2,.2,2.7,,
112,인천,2013-03-01,.3,1.2,8.4,,
112,인천,2013-03-02,-1,,5.3,,
112,인천,2013-03-03,.3,,2.9,,
112,인천,2013-03-04,3.1,,3.7,,
112,인천,2013-03-05,3.1,,2.7,,
112,인천,2013-03-06,8.2,,3.7,,
112,인천,2013-03-07,5.9,0,4,,
112,인천,2013-03-08,6.8,,2.8,,
112,인천,2013-03-09,11.5,,4.5,,
112,인천,2013-03-10,.6,,7.4,,
112,인천,2013-03-11,2.7,,2.7,,
112,인천,2013-03-12,6.8,5.1,2.4,,
112,인천,2013-03-13,4.3,15.5,7,,
112,인천,2013-03-14,3,,3.4,,
112,인천,2013-03-15,3.5,,2.3,,
112,인천,2013-03-16,5,,2.3,,
112,인천,2013-03-17,6.5,7.8,2,,
112,인천,2013-03-18,6.1,.9,3.1,,
112,인천,2013-03-19,6.3,,3,,
112,인천,2013-03-20,1.8,0,7.1,,
112,인천,2013-03-21,.4,,2.6,,
112,인천,2013-03-22,3,0,2.7,,
112,인천,2013-03-23,3.5,,2.6,,
112,인천,2013-03-24,4.1,,4.2,,
112,인천,2013-03-25,2.3,,6,,
112,인천,2013-03-26,3.3,,2.5,,
112,인천,2013-03-27,5.5,,2.2,,
112,인천,2013-03-28,6.2,,3.1,,
112,인천,2013-03-29,4.7,,5.2,,
112,인천,2013-03-30,3.9,.2,3.2,,
112,인천,2013-03-31,4.9,,2.6,,
112,인천,2013-04-01,8.8,.1,2.1,,
112,인천,2013-04-02,6.8,4.5,4,,
112,인천,2013-04-03,6.5,,2.7,,
112,인천,2013-04-04,10.9,,1.9,,
112,인천,2013-04-05,12.5,,2.6,,
112,인천,2013-04-06,6.4,10.3,5.7,,
112,인천,2013-04-07,4.6,1,5.9,,
112,인천,2013-04-08,7,.4,4.5,,
112,인천,2013-04-09,6.1,,7.6,,
112,인천,2013-04-10,5.6,,5.9,,
112,인천,2013-04-11,6,,6.8,,
112,인천,2013-04-12,6.6,,4.5,,
112,인천,2013-04-13,9.9,,5.2,,
112,인천,2013-04-14,7.5,2.6,6,,
112,인천,2013-04-15,7.1,,2.3,,
112,인천,2013-04-16,11.4,,4.5,,
112,인천,2013-04-17,13.7,,3.6,,
112,인천,2013-04-18,10.4,,5.1,,
112,인천,2013-04-19,8.8,,4.2,,
112,인천,2013-04-20,5.5,9.4,2.6,,
112,인천,2013-04-21,7.8,,3.1,,
112,인천,2013-04-22,9.2,,2.7,,
112,인천,2013-04-23,10.4,5,3,,
112,인천,2013-04-24,10.2,.1,4.1,,
112,인천,2013-04-25,7.9,4.6,4,,
112,인천,2013-04-26,10.7,,4.1,,
112,인천,2013-04-27,11.5,,3.3,,
112,인천,2013-04-28,15.4,,4.3,,
112,인천,2013-04-29,11.1,14.5,4.9,,
112,인천,2013-04-30,11.2,,3.4,,
112,인천,2013-05-01,12.1,,3.3,,
112,인천,2013-05-02,11.4,,3.2,,
112,인천,2013-05-03,11,,3.2,,
112,인천,2013-05-04,11,,3,,
112,인천,2013-05-05,10.8,,2.9,,
112,인천,2013-05-06,11.1,,2.4,,
112,인천,2013-05-07,16.4,,2.5,,
112,인천,2013-05-08,16.8,,2.6,,
112,인천,2013-05-09,15.6,6.4,2.5,,
112,인천,2013-05-10,12.7,18,4.3,,
112,인천,2013-05-11,15.1,,3.6,,
112,인천,2013-05-12,16.9,.1,5.6,,
112,인천,2013-05-13,19.2,,3.4,,
112,인천,2013-05-14,18.3,,3.1,,
112,인천,2013-05-15,16.8,0,2.8,,
112,인천,2013-05-16,22,,4.2,,
112,인천,2013-05-17,18.3,,3.6,,
112,인천,2013-05-18,15.3,18.2,2.8,,
112,인천,2013-05-19,15.3,21.3,3.6,,
112,인천,2013-05-20,12.2,0,2.7,,
112,인천,2013-05-21,15.6,,2.1,,
112,인천,2013-05-22,17.6,,2.5,,
112,인천,2013-05-23,17.3,,2.1,,
112,인천,2013-05-24,16.3,,2.1,,
112,인천,2013-05-25,20.8,,1.9,,
112,인천,2013-05-26,21.8,,2.3,,
112,인천,2013-05-27,19.5,52.4,4.8,,
112,인천,2013-05-28,17.9,6.6,3.7,,
112,인천,2013-05-29,14.2,3.2,2.9,,
112,인천,2013-05-30,16.2,,2.7,,
112,인천,2013-05-31,19,,2,,
112,인천,2013-06-01,19.3,,2.4,,
112,인천,2013-06-02,19.3,,2.1,,
112,인천,2013-06-03,16.9,,2.6,,
112,인천,2013-06-04,20.7,.1,2.5,,
112,인천,2013-06-05,22.1,,2.4,,
112,인천,2013-06-06,22.3,,1.9,,
112,인천,2013-06-07,22.8,,2.3,,
112,인천,2013-06-08,23.1,,1.8,,
112,인천,2013-06-09,25.5,,2.1,,
112,인천,2013-06-10,25.2,,2.3,,
112,인천,2013-06-11,22.7,5.7,3.3,,
112,인천,2013-06-12,19.5,8.4,2.2,,
112,인천,2013-06-13,20.6,,1.8,,
112,인천,2013-06-14,22.5,,2,,
112,인천,2013-06-15,22.2,,2.5,,
112,인천,2013-06-16,20.8,,2.7,,
112,인천,2013-06-17,21.1,.1,2.2,,
112,인천,2013-06-18,21.6,20.8,1.8,,
112,인천,2013-06-19,22.2,0,2,,
112,인천,2013-06-20,23.3,,1.8,,
112,인천,2013-06-21,23.9,,2.1,,
112,인천,2013-06-22,22.6,,2.5,,
112,인천,2013-06-23,20.6,.1,2.5,,
112,인천,2013-06-24,21.4,,2.3,,
112,인천,2013-06-25,22.4,,1.9,,
112,인천,2013-06-26,22.6,,2.9,,
112,인천,2013-06-27,22.9,,2.5,,
112,인천,2013-06-28,23.8,1.7,2.4,,
112,인천,2013-06-29,25,,2.2,,
112,인천,2013-06-30,25.6,,2,,
112,인천,2013-07-01,24.7,,2.2,,
112,인천,2013-07-02,23.1,49,6.1,,
112,인천,2013-07-03,22.7,,3,,
112,인천,2013-07-04,23.5,2.4,4,,
112,인천,2013-07-05,23.8,0,2.2,,
112,인천,2013-07-06,22.1,,2.4,,
112,인천,2013-07-07,24,2.2,2.1,,
112,인천,2013-07-08,23.6,66.7,4.7,,
112,인천,2013-07-09,23.1,1.8,3.1,,
112,인천,2013-07-10,23.9,.2,4.2,,
112,인천,2013-07-11,23.5,7.7,4.3,,
112,인천,2013-07-12,22.7,30.1,4.9,,
112,인천,2013-07-13,23.2,148.2,2.3,,
112,인천,2013-07-14,23.1,10,3.2,,
112,인천,2013-07-15,25.5,.7,3.9,,
112,인천,2013-07-16,25.6,4.6,6.8,,
112,인천,2013-07-17,23.2,5,2.7,,
112,인천,2013-07-18,24.7,5.4,2.5,,
112,인천,2013-07-19,26.2,,4.1,,
112,인천,2013-07-20,26,2.3,4.9,,
112,인천,2013-07-21,25.2,0,3.9,,
112,인천,2013-07-22,25.2,38.1,3.2,,
112,인천,2013-07-23,24.7,35.9,4.8,,
112,인천,2013-07-24,23.5,17,4.2,,
112,인천,2013-07-25,24.3,,3,,
112,인천,2013-07-26,24.1,,2.3,,
112,인천,2013-07-27,24,.7,2.1,,
112,인천,2013-07-28,24.8,8.2,4.2,,
112,인천,2013-07-29,24.2,.1,2.9,,
112,인천,2013-07-30,25.2,.1,3.1,,
112,인천,2013-07-31,24.9,11,3.2,,
112,인천,2013-08-01,26.7,,1.8,,
112,인천,2013-08-02,27.8,.8,2.2,,
112,인천,2013-08-03,27.8,,3.5,,
112,인천,2013-08-04,27.4,0,2.4,,
112,인천,2013-08-05,26.7,11.1,3.7,,
112,인천,2013-08-06,26,34.7,3.6,,
112,인천,2013-08-07,27.9,,2.7,,
112,인천,2013-08-08,28.3,,4.2,,
112,인천,2013-08-09,27.8,,3.5,,
112,인천,2013-08-10,26.4,1.7,2.3,,
112,인천,2013-08-11,28,,1.8,,
112,인천,2013-08-12,28,,2.4,,
112,인천,2013-08-13,27.8,,2.8,,
112,인천,2013-08-14,27.9,,2.6,,
112,인천,2013-08-15,27.8,2.2,3,,
112,인천,2013-08-16,27.9,.6,3.3,,
112,인천,2013-08-17,27.8,,4.1,,
112,인천,2013-08-18,27.5,,3.1,,
112,인천,2013-08-19,27.1,0,2.3,,
112,인천,2013-08-20,26.7,,2,,
112,인천,2013-08-21,28.1,,2.5,,
112,인천,2013-08-22,28.3,,2.1,,
112,인천,2013-08-23,25,42.9,2,,
112,인천,2013-08-24,26.3,,2.2,,
112,인천,2013-08-25,26.3,,2.5,,
112,인천,2013-08-26,26.8,,2.5,,
112,인천,2013-08-27,25.3,,2.8,,
112,인천,2013-08-28,25.9,,2.5,,
112,인천,2013-08-29,25,26.7,5.3,,
112,인천,2013-08-30,24.2,,3.1,,
112,인천,2013-08-31,23.2,,3.2,,
112,인천,2013-09-01,23.2,,3.6,,
112,인천,2013-09-02,22.3,,3.3,,
112,인천,2013-09-03,21.4,,4.2,,
112,인천,2013-09-04,21.4,,3.6,,
112,인천,2013-09-05,21.7,0,2.8,,
112,인천,2013-09-06,20.8,0,3.2,,
112,인천,2013-09-07,21.8,,2.6,,
112,인천,2013-09-08,22.7,,1.9,,
112,인천,2013-09-09,23,,2,,
112,인천,2013-09-10,21.2,13.8,2,,
112,인천,2013-09-11,20.1,45.2,2.8,,
112,인천,2013-09-12,22.5,0,1.3,,
112,인천,2013-09-13,22.5,101.9,3,,
112,인천,2013-09-14,22.5,11.4,2.9,,
112,인천,2013-09-15,23.2,,3,,
112,인천,2013-09-16,20.5,,3,,
112,인천,2013-09-17,22.6,,2,,
112,인천,2013-09-18,24,,2.6,,
112,인천,2013-09-19,24.3,,2.9,,
112,인천,2013-09-20,23.3,,1.7,,
112,인천,2013-09-21,23.3,,2.2,,
112,인천,2013-09-22,23.3,0,4.6,,
112,인천,2013-09-23,23.4,,2.7,,
112,인천,2013-09-24,21.5,3.8,3.7,,
112,인천,2013-09-25,18.7,,5,,
112,인천,2013-09-26,17.3,,2.8,,
112,인천,2013-09-27,18.6,,1.6,,
112,인천,2013-09-28,18.2,6.4,2.5,,
112,인천,2013-09-29,17.1,18,2.9,,
112,인천,2013-09-30,19.5,4,2.9,,
112,인천,2013-10-01,21.1,,2.3,,
112,인천,2013-10-02,18.9,0,4.8,,
112,인천,2013-10-03,16.2,,3.3,,
112,인천,2013-10-04,17.6,,2.4,,
112,인천,2013-10-05,20.7,,1.8,,
112,인천,2013-10-06,21.6,,4.6,,
112,인천,2013-10-07,22.6,,3,,
112,인천,2013-10-08,19.3,4,3.6,,
112,인천,2013-10-09,19.2,,2.5,,
112,인천,2013-10-10,20.6,,1.9,,
112,인천,2013-10-11,18.1,.2,6.1,,
112,인천,2013-10-12,17.4,,3.4,,
112,인천,2013-10-13,17.9,,1.1,,
112,인천,2013-10-14,18.4,,2,,
112,인천,2013-10-15,11.9,.8,4.6,,
112,인천,2013-10-16,11.5,,2.6,,
112,인천,2013-10-17,12.7,,.9,,
112,인천,2013-10-18,14.6,,1.2,,
112,인천,2013-10-19,15.7,,2.1,,
112,인천,2013-10-20,16.5,,2,,
112,인천,2013-10-21,16,,2.5,,
112,인천,2013-10-22,16.1,,3.5,,
112,인천,2013-10-23,16.8,,1.7,,
112,인천,2013-10-24,12.9,,3.7,,
112,인천,2013-10-25,9.3,,4.8,,
112,인천,2013-10-26,10.1,,2,,
112,인천,2013-10-27,12.8,,.9,,
112,인천,2013-10-28,12.7,,1.4,,
112,인천,2013-10-29,12.8,.1,3,,
112,인천,2013-10-30,10.3,,1,,
112,인천,2013-10-31,11.6,,1.1,,
112,인천,2013-11-01,14.5,,.7,,
112,인천,2013-11-02,11.1,8.6,1.1,,
112,인천,2013-11-03,12.2,,1.9,,
112,인천,2013-11-04,12.5,0,2.5,,
112,인천,2013-11-05,13,,.7,,
112,인천,2013-11-06,13,1,2.9,,
112,인천,2013-11-07,12.2,,4.5,,
112,인천,2013-11-08,9.5,,.2,,
112,인천,2013-11-09,11.6,7,1.9,,
112,인천,2013-11-10,5.4,0,6.8,,
112,인천,2013-11-11,3.3,,3.9,,
112,인천,2013-11-12,4,,3.8,,
112,인천,2013-11-13,5.2,,1.8,,
112,인천,2013-11-14,7.3,.4,2.9,,
112,인천,2013-11-15,8.7,3.6,1.8,,
112,인천,2013-11-16,8.9,3.3,3,,
112,인천,2013-11-17,5.8,,6.8,,
112,인천,2013-11-18,1.8,,7.7,,
112,인천,2013-11-19,2,0,6.3,,
112,인천,2013-11-20,2.3,,4.9,,
112,인천,2013-11-21,3.7,,3,,
112,인천,2013-11-22,6.3,,1.9,,
112,인천,2013-11-23,8.7,,2.1,,
112,인천,2013-11-24,8.1,11.1,4,,
112,인천,2013-11-25,4.9,8.2,8.5,,
112,인천,2013-11-26,3,1,3.5,,
112,인천,2013-11-27,.6,.6,5.2,,
112,인천,2013-11-28,-3.3,0,3.4,,
112,인천,2013-11-29,.7,0,2.2,,
112,인천,2013-11-30,6.3,,3,,
112,인천,2013-12-01,4.3,,2.3,,
112,인천,2013-12-02,5.8,,2.3,,
112,인천,2013-12-03,7.5,,2,,
112,인천,2013-12-04,5.3,,1.4,,
112,인천,2013-12-05,5.2,,2.5,,
112,인천,2013-12-06,3.6,0,3.5,,
112,인천,2013-12-07,6.5,.4,2.2,,
112,인천,2013-12-08,6,0,1.9,,
112,인천,2013-12-09,4.4,12.2,4.4,,
112,인천,2013-12-10,.5,,3.7,,
112,인천,2013-12-11,-.9,1.4,6,.6,.6
112,인천,2013-12-12,-1.8,4.6,4.8,2.5,2.5
112,인천,2013-12-13,-5.6,0,3.1,,.7
112,인천,2013-12-14,-4.4,2.8,2.6,1.5,2
112,인천,2013-12-15,-3.3,,2.2,,2
112,인천,2013-12-16,-3.6,,2.2,,1.5
